Артикул	Название	Текущий_магазин_шт	Новый_магазин_шт	Факт_продажи_мес
868516027	Celimax Dual Barrier Creamy Toner, тонер 150 мл	5621	379	4299
168956391	FARMSTAY - Collagen & Hyaluronic Acid All-In One Ampoule [250ml] / Сыворотка с коллагеном и гиалуроновой кислотой	1789	946	1576
437154709	ROUND LAB 1025 DOKDO CLEANSER_150ml - Увлажняющая пенка для умывания лица	0	808	1347
238415286	ENOUGH - Collagen Moisture Essential Cream [50ml] / Увлажняющий крем для лица с коллагеном	304	738	1230
207472742	FARMSTAY - Black Garlic Nourishing Shampoo [530ml] / Шампунь-кондиционер 2в1 с экстрактом черного чеснока	761	530	884
207482718	JIGOTT - Snail Lifting Cream [70ml] / Крем для лица увлажняющий антивозрастной	828	501	835
151313163	ETUDE - Baking Powder Crunch Pore Scrub [200ml] / Очищающий скраб для лица с содой	660	398	664
207469760	FARMSTAY - Gold Snail Premium Cream [50ml] / Омолаживающий крем с муцином улитки и коллоидным золотом	338	334	557
551465879	CELIMAX THE VITA-A RETINOL SHOT TIGHTENING SERUM [30ml]/Сыворотка с ретинолом и микроиглами для лица	272	287	479
169076150	FARMSTAY - Escargot Noblesse Intensive Cream [50g] / Крем с муцином королевской улитки	123	257	428
207796789	ENOUGH - Gold Snail Moisture Foundation [Tone 13] / Тональный крем с муцином улитки 13 тон	289	188	314
207483179	JIGOTT - Snail Reparing Cream [100ml] / Крем для лица увлажняющий антивозрастной с муцином улитки	346	140	234
198156472	MANYO - Galac Whitening Vita Serum [50ml] / Осветляющая сыворотка с Витамином C	239	133	221
226115324	PETITFEE - Agave Cooling Hydrogel Face Mask [5pcs] / Охлаждающая гидрогелевая маска для лица с экстрактом агавы	326	130	217
419630142	FARMSTAY ESCARGOT NOBLESSE INTENSIVE AMPOULE/ сыворотка с улиткой	41	106	176
198147185	MANYO - Bifida Biome Complex Ampoule [50ml] / Антивозрастная сыворотка для лица	95	100	166
207796898	ENOUGH - Gold Snail Moisture Foundation [Tone 21] / Тональный крем с муцином улитки 21 тон	205	92	153
437242640	ROUND LAB MUGWORT CALMING CLEANSER_150ml - Очищающая пенка для умывания лица от прыщей и акне	0	90	149
151175880	PETITFEE - Black Pearl & Gold Hydrogel Eye Patch [60ea] / Гидрогелевые патчи для глаз с черным жемчугом и золотом	190	82	137
207483780	JIGOTT - Birds Nest Firming Cream [70ml] / Антивозрастной крем с экстрактом ласточкиного гнезда	121	76	126
212757456	JIGOTT - Daily Real Cica Toner [300ml] / Тонер для лица с центеллой азиатской	13	69	115
551607905	CELIMAX JI WOO GAE CICA BHA BLEMISH TONER PAD [170ml / 60pads]/Тонер-пэды от воспалений	0	69	115
151175877	PETITFEE - Agave Cooling Hydrogel Eye Patch [60ea] / Охлаждающие гидрогелевые патчи для глаз с экстрактом агавы	143	69	115
179611207	PETITFEE - Gold & Snail Hydrogel Eye Patch [60ea] / Гидрогелевые патчи для глаз с золотом и улиткой	165	68	113
212760119	JIGOTT - Ultimate Real Collagen Toner [300ml] / тонер с коллагеном антивозрастной	0	59	98
226117746	PETITFEE - Chamomile Lightening Hydrogel Mask Pack [5pcs] / Успокаивающая гидрогелевая маска для лица с экстрактом ромашки	90	0	92
198156698	MANYO - Pure Cleansing Oil [200ml] / Гидрофильное масло для глубокого очищения	13	54	91
868575374	MANYO BIFIDA COMPLEX AMPOULE GEL CLEANSER [400ml] / Гель для умывания с бифидобактериями	22	54	91
226115141	PETITFEE - Gold & Snail Hydrogel Mask Pack [5pcs] / Гидрогелевая маска для лица с золотом и экстрактом улитки	71	46	77
226114935	PETITFEE - Gold Hydrogel Mask Pack [5pcs] / Гидрогелевая маска для лица с золотом	82	33	55
868700077	MANYO BIFIDA INFUSION SHOT AMPOULE 1DX [50ml] / Сыворотка с микроиглами и пробиотиками	0	28	46
179611231	PETITFEE - Collagen & CoQ10 Hydrogel Eye Patch [60ea] / Гидрогелевые патчи для глаз с коллагеном и коэнзимом Q10	31	25	42
212883090	JIGOTT - Aura Secret Hyaluronec Acid Toner [300ml] / Тонер с гиалуроновой кислотой антивозрастной	0	25	42
212759698	JIGOTT - Moisture Real Aloe Vera Toner [300ml] / Тонер для лица увлажняющий с экстрактом алоэ	53	23	39
180988755	PETITFEE - Bera Glucan Deep Firming Eye Patch [60ea] / Тканевые патчи для век увлажняющие	0	22	36
180711104	PETITFEE - Gold Hydrogel Eye Patch [60ea] / гидрогелевые патчи для глаз с золотом	0	21	35
179611278	PETITFEE - Artichoke Soothing Hydrogel Eye Patch [60ea] / Смягчающие гидрогелевые патчи для глаз с экстрактом артишока	0	19	32
179611304	PETITFEE - Cacao Energizing Hydrogel Eye Patch [60ea] / Тонизирующие гидрогелевые патчи для глаз с экстрактом какао	0	15	25
